"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arhgdib",3.50821484119828e-65,0.515660883053338,0.989,0.926,5.87380410861829e-61,"2","Arhgdib"
"Tlr13",9.7269579145107e-65,0.629049568566998,0.541,0.303,1.62858456362653e-60,"2","Tlr13"
"Bcl2a1d",1.22643353818131e-63,0.935328298166679,0.667,0.409,2.05341767297697e-59,"2","Bcl2a1d"
"Stat3",2.25715552717812e-63,0.529239986548508,0.813,0.731,3.77915549915433e-59,"2","Stat3"
"Tkt",2.6132284363536e-63,0.85876155250727,0.921,0.81,4.37532837098684e-59,"2","Tkt"
"Themis2",8.24691000136872e-63,0.607110366685611,0.679,0.422,1.38078014152916e-58,"2","Themis2"
"Hsd11b1",1.16902372631614e-62,0.680987244384657,0.329,0.068,1.95729642497111e-58,"2","Hsd11b1"
"Anp32a",6.93417082271585e-62,0.815517113073037,0.859,0.75,1.16098822084731e-57,"2","Anp32a"
"Cx3cr11",2.17592923774462e-61,0.7416243266765,0.757,0.424,3.64315832275582e-57,"2","Cx3cr1"
"Tyrobp",3.32087518824056e-61,0.404568389798327,0.997,0.981,5.56014132767118e-57,"2","Tyrobp"
"Slc12a6",5.93306522692298e-61,0.77005169996849,0.596,0.319,9.93373110943715e-57,"2","Slc12a6"
"Atp1a3",1.61995921919213e-60,0.900972075760177,0.606,0.215,2.71229772069339e-56,"2","Atp1a3"
"Herc4",2.36960853942265e-60,0.735968472450851,0.566,0.318,3.96743557755534e-56,"2","Herc4"
"Pecam1",4.01874989590063e-60,0.588989401640885,0.274,0.103,6.72859295070642e-56,"2","Pecam1"
"Sept9",7.59663460924617e-60,1.00747325138553,0.48,0.113,1.27190453262609e-55,"2","Sept9"
"Fus",8.12024160607641e-60,0.393836237927314,0.902,0.811,1.35957205210537e-55,"2","Fus"
"Rps16",3.80858381276715e-59,0.438654225191732,1,0.979,6.37671187771603e-55,"2","Rps16"
"Pfn1",3.91318213613351e-59,0.328356080312624,0.999,0.976,6.55184085052834e-55,"2","Pfn1"
"Prkcb1",1.02387915582452e-58,0.515638731887128,0.563,0.355,1.714280870597e-54,"2","Prkcb"
"Ccdc50",2.38195208330843e-58,0.73045638949157,0.653,0.488,3.9881023730833e-54,"2","Ccdc50"
"Laptm5",2.71358404372298e-58,0.40825744492443,0.999,0.967,4.54335376440539e-54,"2","Laptm5"
"Mef2a",4.61306636681428e-58,0.479825715361905,0.86,0.746,7.72365701795714e-54,"2","Mef2a"
"Ppp2r5c",5.85104316382158e-58,0.615004843337122,0.728,0.565,9.79640156918647e-54,"2","Ppp2r5c"
"Camkk2",5.88793158425641e-57,0.923217735571391,0.697,0.356,9.8581638515205e-53,"2","Camkk2"
"Cd82",8.16357028290722e-57,0.72207854646872,0.531,0.263,1.36682657246716e-52,"2","Cd82"
"Ikzf1",1.93165659934783e-56,0.831805943727952,0.703,0.484,3.23417264428807e-52,"2","Ikzf1"
"Cks2",2.92127489590967e-56,0.972745272603302,0.628,0.326,4.89109055822157e-52,"2","Cks2"
"Sorl1",4.05259759062739e-56,0.324435560533967,0.643,0.39,6.78526414598744e-52,"2","Sorl1"
"Runx2",1.133806919115e-55,0.630910795513717,0.414,0.14,1.89833292467424e-51,"2","Runx2"
"Rps23",1.29440479390462e-55,0.458291687819573,1,0.965,2.16722194643451e-51,"2","Rps23"
"Ptpn1",3.03272088840485e-55,0.605477569388211,0.892,0.778,5.07768458345624e-51,"2","Ptpn1"
"Lyn",3.39406003035579e-55,0.512703946043266,0.928,0.836,5.6826747088247e-51,"2","Lyn"
"Zfp706",3.65395132288236e-55,0.773338590156722,0.824,0.623,6.11781069990193e-51,"2","Zfp706"
"Tab2",3.65754206435111e-55,0.510107061670704,0.682,0.561,6.12382267834307e-51,"2","Tab2"
"Tpm4",3.78689863350501e-55,0.501814418569664,0.866,0.735,6.34040438207744e-51,"2","Tpm4"
"Fgd4",5.65253390844568e-55,0.741313805852524,0.598,0.359,9.4640375229106e-51,"2","Fgd4"
"Sipa1l1",1.00686952931929e-54,0.527600112239239,0.362,0.186,1.68580165293928e-50,"2","Sipa1l1"
"Itch",1.81685079156365e-54,0.662145304610698,0.629,0.421,3.04195328031502e-50,"2","Itch"
"Klhl5",1.00462306134306e-53,0.555912396407434,0.465,0.268,1.68204039160668e-49,"2","Klhl5"
"Klf13",1.89509029035064e-53,0.916876663708482,0.887,0.685,3.17294967313407e-49,"2","Klf13"
"Nfatc3",6.53519568242238e-53,0.635976804561318,0.455,0.24,1.09418781310798e-48,"2","Nfatc3"
"Bcl6",8.58572065591376e-53,0.619365148628521,0.467,0.261,1.43750720941964e-48,"2","Bcl6"
"Arhgef3",4.33485611392133e-52,0.670672321698391,0.485,0.291,7.25784959153849e-48,"2","Arhgef3"
"Ap1s2",9.60354170410302e-52,0.766969265716069,0.754,0.548,1.60792098751797e-47,"2","Ap1s2"
"Pcnx",1.97362223857996e-51,0.614218437750544,0.394,0.171,3.30443571405442e-47,"2","Pcnx"
"B4galt5",2.06977901295333e-51,0.491766274793786,0.64,0.495,3.46543100138776e-47,"2","B4galt5"
"Ppdpf",2.30508655050147e-51,0.696552116367142,0.578,0.35,3.85940641150461e-47,"2","Ppdpf"
"Pdha1",2.61912091608821e-51,0.61188920491664,0.531,0.328,4.3851941498065e-47,"2","Pdha1"
"Slc46a3",1.20876490729092e-50,0.548262510121828,0.285,0.058,2.02383508427719e-46,"2","Slc46a3"
"Cd47",1.22469781583688e-50,0.61849375392051,0.978,0.89,2.05051155305569e-46,"2","Cd47"
"Ets1",1.47599305154619e-50,0.596375088692737,0.259,0.06,2.47125516620379e-46,"2","Ets1"
"Cdk2ap2",2.00388386840817e-50,0.66285852932059,0.921,0.75,3.3551027608758e-46,"2","Cdk2ap2"
"Eif4g3",2.24694547910209e-50,0.574487300743102,0.657,0.486,3.76206081566063e-46,"2","Eif4g3"
"Map4k4",5.44053080192223e-50,0.259818894539694,0.704,0.593,9.1090807216584e-46,"2","Map4k4"
"Smchd1",5.65162724623094e-50,0.354976604206575,0.751,0.667,9.46251949836446e-46,"2","Smchd1"
"Tcf7l2",6.73221559036984e-50,0.531422906070549,0.664,0.378,1.12717485629562e-45,"2","Tcf7l2"
"Filip1l",1.93292853091046e-49,0.737571232790095,0.68,0.462,3.23630223930337e-45,"2","Filip1l"
"Tmed5",6.41412019618011e-48,0.439963278577892,0.889,0.781,1.07391614444644e-43,"2","Tmed5"
"Gk",5.1481450858726e-47,0.342270672735356,0.479,0.364,8.6195393172765e-43,"2","Gk"
"Tmcc1",1.32093401526078e-46,0.943096365169492,0.667,0.385,2.21163982175112e-42,"2","Tmcc1"
"Prkch",1.50819319679616e-46,0.623788827182546,0.473,0.232,2.52516786939581e-42,"2","Prkch"
"Mef2d",2.01775343669212e-46,0.432090617028021,0.61,0.481,3.37832457905362e-42,"2","Mef2d"
"Nfe2",2.03476811275744e-45,0.499950346295156,0.346,0.086,3.40681225118978e-41,"2","Nfe2"
"Grk2",1.09790508396423e-44,0.449202679637639,0.841,0.738,1.83822248208131e-40,"2","Grk2"
"Ccm2",1.19846876674564e-44,0.604858067016282,0.443,0.226,2.00659625616222e-40,"2","Ccm2"
