"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a11",4.89034110669157e-128,0.403557095561603,0.997,0.915,8.1610012388469e-124
"Ndufb7",9.57768691173665e-104,0.403075932622475,0.931,0.646,1.59832439183061e-99
"Cox6a1",3.56053942024698e-122,0.403015634223605,0.991,0.876,5.94182818450815e-118
"Ptges",6.26495720439e-92,0.402854526933165,0.564,0.222,1.0454960582686e-87
"Psma2",2.31633892926087e-104,0.402478387191928,0.926,0.649,3.86550640515053e-100
"Ndufb5",8.89358683872177e-102,0.401955146357917,0.921,0.637,1.48416177164589e-97
"Tma7",3.34005362374464e-106,0.401321330855381,0.952,0.707,5.57388148730505e-102
"Pomp",2.45622908025871e-100,0.400370318558213,0.919,0.637,4.09895508913573e-96
"Ptgr1",4.20017503422954e-83,0.40009815767781,0.543,0.223,7.00925209712226e-79
"Ssr4",1.75183030082017e-93,0.398886417014789,0.894,0.623,2.9234544060087e-89
"H2-D1",3.78196361438711e-101,0.398801873435589,0.999,0.97,6.3113408796892e-97
"Uqcc2",3.12759862665066e-95,0.398442285355681,0.801,0.444,5.21933658815462e-91
"Mt1",3.08563324259512e-32,0.397783025037222,0.925,0.793,5.14930475524274e-28
"Aes",2.3331237882908e-96,0.39755740836562,0.914,0.656,3.89351697789969e-92
"Hint1",4.19717087582714e-101,0.396499099694013,0.977,0.808,7.00423875758033e-97
"Uba52",1.02013917428426e-104,0.393905751668267,0.96,0.724,1.70240825404558e-100
"Rpl39",8.15319164255586e-106,0.393454639327272,0.98,0.845,1.36060462130972e-101
"Slc25a4",2.54659810862593e-94,0.391050155215986,0.903,0.609,4.24976292367496e-90
"Minos1",1.49550077025202e-110,0.390978115284105,0.964,0.729,2.49569168539657e-106
"Ppib",1.56043067010499e-103,0.388511953403738,0.976,0.831,2.60404670227121e-99
"Prdx3",1.28358240326246e-85,0.38850166402708,0.714,0.373,2.1420423145644e-81
"1110008P14Rik",9.72673566710751e-91,0.388311619226795,0.792,0.444,1.6231976481269e-86
"Calm3",1.0310342516963e-85,0.385748826364652,0.764,0.422,1.72058995923079e-81
"Cyc1",5.64781645139564e-85,0.383993361085345,0.826,0.52,9.42507609408905e-81
"Ndufb11",3.46582498037413e-106,0.383533954107059,0.97,0.778,5.78376872724834e-102
"Ssr2",5.98428088245428e-78,0.378088326596709,0.906,0.677,9.9865679366397e-74
"Map1lc3a",3.0900743073429e-82,0.377985422148291,0.97,0.804,5.15671600409383e-78
"Ndufb4",9.79608632931919e-92,0.377009914846726,0.906,0.62,1.63477088663679e-87
"Ndufv3",3.86327006999746e-86,0.376394504305333,0.849,0.539,6.44702509281175e-82
"Atp5b",9.83039723330071e-100,0.376184606839455,0.988,0.87,1.64049669029322e-95
"Ndufa12",7.43024563804774e-91,0.376028511299857,0.887,0.581,1.23995939207741e-86
"Ldha",7.68351442894849e-83,0.375634208644948,0.952,0.798,1.28222488790292e-78
"Uqcr10",4.25780429967311e-101,0.374430467461113,0.966,0.752,7.10542381529448e-97
"Ctsb",3.25374864123342e-88,0.367226963208402,0.945,0.749,5.42985573249033e-84
"Phgr1",6.12778238707069e-44,0.366652307388458,0.286,0.107,1.02260432475436e-39
"Psmb7",2.0378089815566e-87,0.366322426631969,0.835,0.5,3.40069562842166e-83
"Ndufs5",7.73186290169117e-94,0.3656760885566,0.928,0.652,1.29029328103422e-89
"2010107E04Rik",2.46560484732915e-84,0.365069982851674,0.866,0.566,4.11460136922288e-80
"March5",7.15162774829486e-73,0.363943358569508,0.669,0.337,1.19346363863545e-68
"Sdhb",1.10268731654668e-85,0.363320461985473,0.828,0.506,1.8401645938531e-81
"Elovl1",2.5088500871322e-54,0.362776291113856,0.984,0.918,4.18676902540622e-50
"Mapk13",9.24515936558138e-77,0.361724298030577,0.612,0.282,1.54283219492822e-72
"Mdh1",9.6649718987608e-84,0.360652062248464,0.885,0.6,1.6128905104652e-79
"Ppa1",1.92690301642033e-82,0.360132946270964,0.483,0.174,3.21561575380224e-78
"Mrpl54",1.53099048635117e-78,0.358891778218916,0.778,0.454,2.55491692362283e-74
"Emc6",1.07394474691032e-88,0.358699158516019,0.929,0.666,1.79219899364394e-84
"Clip4",3.6482759252599e-66,0.357224287375501,0.654,0.325,6.08824286407372e-62
"Rasl11a",3.13107197991624e-44,0.354664760826055,0.803,0.568,5.22513292008422e-40
"Clic3",3.34690043672036e-76,0.354503844714107,0.898,0.66,5.58530744879894e-72
"Chchd2",4.89256910855106e-110,0.353637782071532,0.992,0.9,8.16471932835001e-106
"Cisd1",4.20895508494005e-81,0.350427361701096,0.781,0.428,7.02390424574796e-77
"Ndufb2",4.37525791332128e-84,0.349395176142767,0.902,0.617,7.30143040575055e-80
"Ndufa9",5.9906293198179e-76,0.348538311093586,0.637,0.306,9.99716220891211e-72
"Ckmt1",2.68127463731731e-69,0.347911104158953,0.414,0.153,4.47451111475512e-65
"Gabarap",3.01406233531545e-98,0.347764876985036,0.987,0.866,5.02986722517443e-94
"Atp5j",1.10867049955271e-95,0.345911843323075,0.983,0.82,1.85014932965356e-91
"Ppia",1.04182336564381e-112,0.345109584065226,0.999,0.955,1.7385948325864e-108
"Gja1",1.16245930813184e-72,0.343843733799059,0.829,0.514,1.93991209341041e-68
"Psma7",6.72346889692217e-80,0.342720654605577,0.91,0.621,1.12201248951837e-75
"Mrps14",8.73630039560437e-76,0.342708960866634,0.771,0.449,1.45791381001846e-71
"Tmem176b",4.7741967450798e-92,0.341882970409679,0.987,0.839,7.96717952818917e-88
"Spcs1",3.1998515118372e-78,0.337354698800957,0.91,0.646,5.33991220295392e-74
"Tspan8",1.99695231218154e-62,0.337239222829783,0.73,0.418,3.33251401856856e-58
