"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Uba2",1.19000542963799e-14,0.300015503221877,0.312,0.194,1.98588106097989e-10
"Desi2",3.65024867702199e-13,0.299972185944575,0.262,0.158,6.09153499221429e-09
"Zfpl1",4.79425786203893e-14,0.2998864758123,0.287,0.178,8.00065752017057e-10
"Ccar1",1.00446073211584e-16,0.299494649487206,0.27,0.151,1.67624406975492e-12
"Akap9",4.26503558218369e-08,0.299360824086137,0.39,0.301,0.000711749137954814
"Fam162a",5.52525330339733e-07,0.299166274168003,0.472,0.394,0.00922054271270947
"Tubb2a",1.07072613696615e-05,0.299040327606911,0.252,0.19,0.17868277773691
"Sirt2",4.00166913489945e-10,0.298782495742807,0.309,0.214,6.6779854523202e-06
"Rock2",4.64242532008056e-12,0.298611446036022,0.356,0.244,7.74727937415044e-08
"Prdx6",0.213681656114374,0.298311951461216,0.838,0.914,1
"Tmem70",9.40189097052254e-18,0.298077354507706,0.255,0.139,1.5689875651608e-13
"Srsf1",1.04569574363677e-12,0.298018768433712,0.375,0.258,1.74505705698104e-08
"Tmem106b",1.61716920255975e-20,0.297801855384481,0.282,0.15,2.6987319652317e-16
"Skap2",5.39614035349749e-10,0.297748527638759,0.289,0.2,9.00507902191661e-06
"Rbbp6",1.39756490431238e-05,0.297295141776289,0.421,0.355,0.233225631231649
"Abhd17c",6.09964178723309e-18,0.297220286440731,0.341,0.206,1.01790822145346e-13
"Lsm4",1.20546172878989e-08,0.297049158725208,0.542,0.466,0.000201167453300456
"Tm2d3",7.99287623881799e-15,0.296690099789799,0.397,0.27,1.33385118673395e-10
"Hdlbp",6.08550133952742e-07,0.296538008777812,0.452,0.383,0.0101554846354034
"Dab2ip",6.98313266040541e-15,0.296275401680304,0.29,0.173,1.16534517836846e-10
"Hacd2",5.11556087177555e-17,0.296243559916436,0.329,0.201,8.53684798281904e-13
"Leprot",1.84257918473256e-17,0.296098117530191,0.272,0.152,3.07489614348169e-13
"Ap1s1",6.76606026696246e-17,0.295989123329251,0.41,0.277,1.1291201373507e-12
"Mrpl21",4.78319695503988e-11,0.295934245486009,0.417,0.314,7.98219907857055e-07
"0610012G03Rik",1.6451076620816e-11,0.295810938399131,0.438,0.331,2.74535566648177e-07
"Eif3k",3.11615660124448e-11,0.29571978739485,0.781,0.752,5.20024213615679e-07
"Ssbp1",1.17639880236238e-12,0.295517886524037,0.389,0.277,1.96317432138234e-08
"Eif2s3x",5.74257978283358e-16,0.295189214854819,0.35,0.22,9.58321714159267e-12
"Rpl7a",1.44694970711397e-12,0.295048630734435,0.864,0.856,2.4146696712318e-08
"Brms1",9.97072066473972e-21,0.294798044453336,0.318,0.178,1.66391386453176e-16
"Dnase2a",8.44148786969547e-11,0.29429226667037,0.346,0.244,1.40871549569478e-06
"Mrpl40",5.94524693208918e-17,0.294130199552526,0.356,0.222,9.92142808027043e-13
"1700020I14Rik",2.87360149327066e-11,0.293926721760347,0.353,0.247,4.79546617197008e-07
"Tom1l1",2.18047230945941e-19,0.293852834823608,0.29,0.16,3.63877219002587e-15
"Tex261",2.1541742160595e-10,0.293578261653832,0.415,0.316,3.59488593176009e-06
"Fermt2",1.35307741749532e-06,0.293474476656703,0.461,0.387,0.022580155943162
"Atad1",1.32009496922484e-16,0.293436182122268,0.273,0.154,2.20297448464241e-12
"Rhod",5.30422941092886e-26,0.29335335200557,0.267,0.127,8.85169804095807e-22
"Pdlim2",1.83598172365656e-10,0.292971472425607,0.512,0.417,3.06388630043807e-06
"Suds3",1.42659960185717e-14,0.29292062231514,0.429,0.301,2.38070941557925e-10
"Ndufv2",2.02415807846622e-08,0.292896322206321,0.577,0.505,0.000337791500134443
"Rnf6",9.58699728694348e-13,0.292888786283886,0.312,0.2,1.59987810724513e-08
"Glod4",4.11154294714033e-11,0.292765022220864,0.343,0.242,6.86134287018778e-07
"Ralb",8.81266580616761e-23,0.292760355369245,0.258,0.127,1.47065766973325e-18
"Epb41l5",6.72400234829334e-09,0.292642723142002,0.417,0.329,0.000112210151188319
"Hexa",6.66062672929902e-05,0.292555986656388,0.401,0.351,1
"Pcna",8.02572304874571e-17,0.292509197945075,0.272,0.152,1.33933266237468e-12
"Hmg20b",2.10438440992982e-12,0.292371910219901,0.46,0.344,3.51179670329089e-08
"Clns1a",1.65594272981601e-18,0.292185115774616,0.29,0.163,2.76343722751696e-14
"Yif1a",4.61780566012066e-11,0.292026530574957,0.383,0.279,7.70619408560935e-07
"Hars",1.73223731123979e-22,0.292000870725939,0.269,0.134,2.89075762499696e-18
"Chtop",1.44474774363561e-11,0.291801020128795,0.319,0.216,2.41099503457911e-07
"Tmed4",7.37823277071328e-12,0.291563847048959,0.395,0.285,1.23127948477663e-07
"Sike1",3.36086404357706e-22,0.291365094203181,0.261,0.129,5.6086099159214e-18
"Jup",1.1668994968141e-10,0.291188567979314,0.449,0.343,1.94732188028338e-06
"Rbbp7",4.58490446867233e-09,0.291112765398709,0.474,0.387,7.65128857732038e-05
"Ist1",1.15113540283887e-22,0.290940446432444,0.264,0.129,1.92101476025751e-18
"Mapk13",4.91248048038795e-05,0.290598729713914,0.373,0.326,0.819794742567141
"Hmox1",0.00398774719769777,0.290510876094856,0.415,0.373,1
"Tardbp",9.85781470643212e-10,0.290379163453677,0.477,0.37,1.64507211820939e-05
"2810004N23Rik",4.46898826859743e-14,0.290351824582736,0.256,0.151,7.45784762263538e-10
"Yme1l1",6.47127464347657e-17,0.289948391498127,0.319,0.188,1.07992631250337e-12
"Urm1",9.79736407052997e-24,0.289872179948123,0.267,0.131,1.63498411609004e-19
"Stk16",2.02980819162392e-10,0.289764178288977,0.302,0.212,3.387343910182e-06
"Bod1l",5.22815172689044e-15,0.289470291512722,0.319,0.197,8.72473960183477e-11
"Ubap2l",5.41847042448346e-09,0.289247246697512,0.444,0.341,9.042343444378e-05
"Ndufv1",7.63950600586832e-11,0.289128279161225,0.509,0.406,1.27488076225931e-06
"Nab1",1.08642055821638e-12,0.288703217720114,0.306,0.197,1.81301862755149e-08
"Desi1",9.24165781824431e-14,0.288669686346858,0.293,0.184,1.54224785670861e-09
"Mrpl2",4.91200209744717e-15,0.288545644065344,0.347,0.225,8.19714910021983e-11
"Pnpla8",2.07737130942685e-17,0.287818696294902,0.267,0.147,3.46671724117153e-13
"Arf3",3.81435870248222e-11,0.287702965946411,0.398,0.292,6.36540180270234e-07
