"test_ligand"	"auroc"	"aupr"	"pearson"	"rank"
"34"	"Crlf1"	0.589258157348435	0.0876592214796469	0.0731561972213044	34
"35"	"Efna1"	0.58895171696199	0.0911178884560598	0.0730620053779461	35
"36"	"Crlf2"	0.581488296275964	0.0902083257805795	0.0728720432240184	36
"37"	"Tgfb3"	0.593967840154746	0.0923770869888706	0.0722757930259394	37
"38"	"Pglyrp1"	0.58565304592955	0.0924444990605647	0.0721904147320903	38
"39"	"Itga9"	0.58377096446069	0.0925351559689261	0.0721895085065261	39
"40"	"Ptprf"	0.585338830442291	0.0935264561765592	0.072149102146511	40
"41"	"H2-T23"	0.589349092223176	0.0911804070380587	0.0717182809457377	41
"42"	"Hbegf"	0.591372984769931	0.0931057169238785	0.0716119446918024	42
"43"	"Anxa1"	0.585146481209102	0.0943419214433862	0.0715109877820323	43
"44"	"Tgfa"	0.582228621092632	0.0929357672614477	0.0711915312321619	44
"45"	"Ocln"	0.588042030166716	0.087873390683479	0.071101021787073	45
"46"	"Sema3b"	0.586231445820562	0.0906545477080006	0.0709482387954579	46
"47"	"Cdh1"	0.579173344520464	0.0918593540101055	0.0709024785771038	47
"48"	"Bmp4"	0.588784045222692	0.0917669921117659	0.0705945550949754	48
"49"	"Nampt"	0.585551969618963	0.0912102364617896	0.0703127825457461	49
"50"	"Pvr"	0.587019604409632	0.0903137631172629	0.0700167321504833	50
"51"	"Sema3a"	0.585842690779847	0.0892219498989909	0.0699947956738855	51
"52"	"Pdgfa"	0.578911357427809	0.0900885300443242	0.0693541080626499	52
"53"	"Yars"	0.582018186298852	0.089317965169226	0.0691902794206454	53
"54"	"F11r"	0.584010302346628	0.0896451288166074	0.0689296818239254	54
"55"	"Areg"	0.574695562547139	0.0914704049474856	0.068922745667569	55
"56"	"Trf"	0.583125124021311	0.0903839976993003	0.0683847828909268	56
"57"	"Liph"	0.581330596948579	0.0899283974505328	0.0675270923880146	57
"58"	"Hebp1"	0.583309022057961	0.0896309630698152	0.0673833724078277	58
"59"	"Thbs1"	0.582016665083476	0.0889512444459988	0.0671769094912139	59
"60"	"Inhbb"	0.583248849538617	0.086253903734509	0.0668454894449307	60
"61"	"Bdnf"	0.581573146289198	0.0907763817517098	0.0668130342130769	61
"62"	"Sema3e"	0.582704423457683	0.0894032801644091	0.0665815620760512	62
"63"	"Il6"	0.607946964347107	0.101028604379471	0.0664194409793869	63
"64"	"Vegfb"	0.580377978074893	0.0890834756289067	0.0657285973152473	64
"65"	"Lrpap1"	0.582579007701069	0.0891317446331058	0.0654810772690066	65
"66"	"Shh"	0.58011903341299	0.089849835036698	0.0645151356422918	66
"67"	"Serpine2"	0.577297009865252	0.0896600965624549	0.0642176310934415	67
"68"	"Bmp2"	0.590652773801021	0.0897627552519801	0.0641224226322433	68
"69"	"Pf4"	0.582994637546775	0.0891036977228794	0.0637616479252659	69
"70"	"Agrn"	0.579723855462905	0.0854293356331733	0.0637025677235436	70
"71"	"Vegfa"	0.588853006986435	0.0931765535468263	0.063520576303339	71
"72"	"Psen1"	0.569445510234232	0.0908110583121927	0.0627251827471618	72
"73"	"Wnt7b"	0.568941649896677	0.0883318325121774	0.0622779094732486	73
"74"	"Lamc2"	0.570222006172078	0.089448517950123	0.0616595360564794	74
"75"	"Ctf1"	0.594177598852801	0.0970940087165279	0.0615150564323889	75
"76"	"Grn"	0.574917152920346	0.0858176332639554	0.0615033856226087	76
"77"	"Copa"	0.574147755987589	0.0870871463259438	0.0610825641200241	77
"78"	"Tgfb2"	0.600609128441624	0.0947946662735524	0.0603837684224556	78
"79"	"Sema3c"	0.568239862536218	0.0853559121994911	0.0600171856242458	79
"80"	"Fat1"	0.579095424488391	0.0866812126825903	0.059902003731275	80
