"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Crip1",4.38939982577355e-41,1.13263160359629,0.645,0.669,7.3250304292509e-37
"Prkcdbp",9.63128934105209e-93,1.12427418937587,0.276,0.057,1.60726956523477e-88
"Actb",3.84166607669431e-56,1.12111402184436,0.951,0.982,6.41097234878747e-52
"Nckap5",2.71928805288153e-54,1.11952799817448,0.513,0.449,4.5379479026487e-50
"Mal2",1.725601765962e-66,1.11309891816312,0.5,0.41,2.87968422703738e-62
"Fads3",1.00014259365562e-79,1.10515548619606,0.466,0.317,1.6690379602925e-75
"Pgrmc1",1.1917449240184e-90,1.10021894474196,0.34,0.104,1.98878392920191e-86
"Lrpap1",3.35447857151029e-53,1.09886149880723,0.487,0.443,5.59795384013638e-49
"Gramd2",4.42181715536153e-91,1.09632702004105,0.407,0.192,7.37912846886733e-87
"Cd9",1.8136938090904e-62,1.0944154477619,0.828,0.912,3.02669222861005e-58
"Wwp1",4.87535329419061e-66,1.08919429181953,0.456,0.337,8.13598957734528e-62
"Mfge8",1.0619666424986e-80,1.08738970019718,0.355,0.135,1.77220993300167e-76
"Crlf1",1.96858563855269e-66,1.07718227835396,0.358,0.225,3.28517571361672e-62
"Anxa2",4.96319569956304e-53,1.06750133413123,0.768,0.849,8.2825809834308e-49
"Cnn2",2.21523095096889e-59,1.06538860212632,0.667,0.689,3.69677741097688e-55
"Tns1",1.21516862154716e-64,1.06221036723666,0.41,0.286,2.0278733956379e-60
"Crlf3",8.38648237046134e-72,1.06190443894601,0.292,0.132,1.39953617798259e-67
"Son",6.87013480709513e-56,1.06179177526767,0.748,0.79,1.14648809660804e-51
"Cdkn2b",2.4695744070109e-113,1.05628615791022,0.325,0.071,4.12122577041978e-109
"Tmod1",1.12891348332259e-82,1.05593528198644,0.281,0.101,1.88393082096873e-78
"Slc44a2",7.82833061482865e-66,1.03911115234529,0.4,0.261,1.3063918130026e-61
"Tmem160",7.4721816897565e-54,1.03587399727389,0.536,0.49,1.24695768038657e-49
"Lgals3",2.79341013310922e-59,1.03361631708609,0.681,0.563,4.66164283013266e-55
"Lrrfip1",1.06960620893734e-51,1.02484358315444,0.556,0.525,1.78495884147464e-47
"Tspan15",6.84282220203712e-62,1.0213173489124,0.417,0.296,1.14193016907596e-57
"Nav2",4.47741267531188e-42,1.01129816199983,0.395,0.337,7.47190627256046e-38
"Icam1",2.76156230721068e-46,1.00979657000218,0.745,0.822,4.60849517827318e-42
"Dapk2",1.09812392132105e-68,1.00666715181004,0.31,0.141,1.83254919990056e-64
"Wdr45",7.06270044512695e-59,1.00233559757668,0.428,0.309,1.17862345028279e-54
"Sema3b",2.39109062457862e-76,0.994359129117398,0.343,0.156,3.99025203429681e-72
"Celf2",1.10136600253261e-58,0.990229523101696,0.328,0.198,1.83795958502641e-54
"Pvrl3",1.26019544210057e-62,0.98987750343345,0.337,0.193,2.10301415377743e-58
"Mprip",1.22017917603135e-55,0.985236589388821,0.389,0.268,2.03623500896111e-51
"Myo1c",1.13467048185377e-66,0.983240808494719,0.368,0.21,1.89353810011758e-62
"Ano1",2.94534074035756e-89,0.981005553264249,0.296,0.086,4.9151846275087e-85
"Xist",7.53170656326015e-26,0.974370687335053,0.639,0.613,1.25689119127685e-21
"Itga3",2.8168195017341e-70,0.968550752037042,0.299,0.127,4.70070838449387e-66
"Il18r1",1.72444746072557e-46,0.96675326155179,0.386,0.295,2.87775792245883e-42
"Capzb",2.83408854794157e-49,0.965387909927582,0.57,0.551,4.72952696880489e-45
"Cdipt",3.07063500151057e-57,0.963966825196752,0.34,0.22,5.12427569052083e-53
"Dusp14",2.5983750022433e-81,0.963904837142516,0.271,0.086,4.33616820374363e-77
"Rab11fip1",4.61367702382447e-52,0.962447207851814,0.41,0.283,7.69930421735828e-48
"Bst2",1.5429743239253e-20,0.958945609771194,0.351,0.354,2.57491555176655e-16
"Mettl7a1",2.37794088484001e-30,0.958319942932403,0.696,0.776,3.96830774862101e-26
"Capn2",1.31488760898587e-72,0.951853326066873,0.328,0.157,2.19428444187563e-68
"Osbpl6",2.65490351329039e-76,0.949320128283559,0.261,0.097,4.430502982979e-72
"Ctdspl",9.62946192120801e-57,0.94917385228805,0.319,0.193,1.60696460541119e-52
