"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ric1",2.79643539425026e-21,0.352788991834389,0.465,0.283,4.68207178059321e-17
"Pfkl",2.93998580510598e-21,0.304221814363384,0.397,0.221,4.92241823348895e-17
"Sgpl1",3.01542134694032e-21,0.390979723936828,0.795,0.66,5.04871996118218e-17
"Ugp2",3.06963459421558e-21,0.350963726687755,0.551,0.384,5.13948920109514e-17
"Pdia4",3.09241059879265e-21,0.508722092660073,0.612,0.46,5.17762306555853e-17
"Osm",3.56780700985184e-21,0.652938485625166,0.631,0.48,5.97357927659493e-17
"Ly6i",3.66097415739199e-21,0.83699385518982,0.379,0.214,6.1295690317214e-17
"Ikbke",3.81232535705965e-21,0.296974419393195,0.347,0.181,6.38297634532497e-17
"Stt3b",3.83226192462056e-21,0.358389483876139,0.554,0.378,6.41635614039221e-17
"Prkar1a",3.87291506838309e-21,0.399538186161126,0.847,0.732,6.48442169899381e-17
"Trim25",3.87692575065333e-21,0.467428484918818,0.767,0.623,6.49113678431887e-17
"Cap1",4.21931116138332e-21,0.334259790561911,0.833,0.698,7.0643926775041e-17
"Rassf4",8.76813007749792e-21,-0.332971645763793,0.565,0.734,1.46804801887548e-16
"Gbp7",9.17331201642462e-21,0.504151726093945,0.61,0.468,1.53588763090997e-16
"Tmem37",1.02038590696301e-20,-0.36925750777355,0.251,0.418,1.70843212402816e-16
"Tubb4b",1.02234420558475e-20,0.36965183011807,0.491,0.318,1.71171090341055e-16
"Tgfbr1",1.2430561829382e-20,-0.420969334877862,0.549,0.695,2.08124896709343e-16
"Gas2l3",1.25025510002373e-20,0.436120998006086,0.477,0.296,2.09330211396973e-16
"Tap2",1.41939512329383e-20,0.399348478282588,0.663,0.532,2.37649325493086e-16
"Psmc6",1.72091558350961e-20,0.364518571751764,0.694,0.574,2.88132896147014e-16
"Cox17",1.85185800927333e-20,0.367923986198913,0.74,0.61,3.10056586492634e-16
"Sf3b6",1.96900282248216e-20,0.357541578158945,0.771,0.688,3.29670142568187e-16
"Lpcat2",2.03581824345494e-20,-0.331162542751413,0.6,0.781,3.4085704850166e-16
"Itga5",2.24000918350364e-20,0.327732553340625,0.483,0.307,3.75044737594014e-16
"Psmd6",2.50380745627919e-20,0.361131950717274,0.61,0.47,4.19212482404825e-16
"Hnrnpa3",2.70823075994016e-20,0.347208629663748,0.925,0.902,4.53439076136781e-16
"Timm13",2.74483157562916e-20,0.338551481943573,0.774,0.694,4.5956715070759e-16
"Susd3",2.84036165677443e-20,-0.295169662013908,0.19,0.366,4.75561752193743e-16
"Cadm1",2.85450769050321e-20,-0.386133651093136,0.103,0.258,4.77930222620952e-16
"Clec4a3",3.29271760627721e-20,-0.366196320415249,0.771,0.887,5.51299708818993e-16
"Fcgr4",3.51959672712965e-20,0.355979371846714,0.837,0.724,5.89286080023317e-16
"Myof",4.18445840431068e-20,0.43778819703077,0.751,0.642,7.00603870633737e-16
"Sptssa",4.25363985086484e-20,-0.333032539300636,0.491,0.658,7.121869202303e-16
"Gbp3",4.39496698192623e-20,0.455873580308825,0.583,0.438,7.35849321783908e-16
"Ndufab1",4.47021011725972e-20,0.337155012254683,0.746,0.652,7.48447279932795e-16
"Surf4",4.49394669486841e-20,0.412220317662108,0.715,0.59,7.52421495121818e-16
"Ifit3",4.70933135139671e-20,0.41950978516104,0.267,0.122,7.88483348164351e-16
"Sec23b",5.65058705597402e-20,0.336645256593184,0.432,0.26,9.46077790781731e-16
"Tor1aip1",6.01434989992928e-20,0.340602785739887,0.837,0.732,1.00698260374516e-15
"Gmfb",7.27232670423034e-20,0.33902050512589,0.603,0.44,1.21760566008929e-15
"Fmnl2",7.37429502760972e-20,0.371307680870152,0.441,0.274,1.2346782164727e-15
"Psmb9",7.60073460806159e-20,0.385667208687299,0.833,0.787,1.27259099542775e-15
"Jak2",7.98074638862821e-20,0.336964880963863,0.483,0.314,1.33621636784802e-15
"Cox6b1",8.66523629417468e-20,0.275925862206644,0.942,0.957,1.45082051273367e-15
"Dhx58",8.93593403847727e-20,0.283008010285694,0.38,0.215,1.49614343606225e-15
"Morf4l2",9.30522520276689e-20,0.408362028112379,0.694,0.554,1.55797385569926e-15
"Srp9",1.20197762067266e-19,0.33792437597335,0.849,0.788,2.01247113029224e-15
"Mrpl20",1.30520115610211e-19,0.355027467519604,0.683,0.572,2.18529829566176e-15
"Slc25a37",1.4076707296938e-19,0.351631046942038,0.343,0.186,2.35686310272633e-15
"Fam241a",1.57253504627453e-19,0.28264813420855,0.354,0.193,2.63289542797745e-15
"Cox5b",1.85063538951953e-19,0.339064059945903,0.878,0.881,3.09851883267256e-15
"Acp5",2.27484905176122e-19,-0.607289342905867,0.361,0.524,3.80877976736381e-15
"Gbp5",2.28964612234387e-19,0.564231600509044,0.339,0.195,3.83355450264034e-15
"Septin11",2.32418455815833e-19,0.278479931186359,0.257,0.117,3.89138220572449e-15
"Vdac2",2.42075608058268e-19,0.333009731591763,0.878,0.829,4.05307190571959e-15
"Lmo2",2.50771624239777e-19,-0.302670933354056,0.432,0.606,4.19866930464659e-15
"Tent5c",2.62852690922003e-19,0.530791497469181,0.659,0.516,4.4009426041071e-15
"Stx4a",2.63609317445353e-19,0.345407288420913,0.706,0.568,4.41361080198755e-15
"Atp2b4",2.69685070769516e-19,0.326519589711886,0.264,0.124,4.51533713989401e-15
"Ifi213",2.72383462538897e-19,0.307238786290203,0.376,0.211,4.56051631328875e-15
"Erap1",2.81739921741493e-19,0.332338722456401,0.468,0.305,4.71717150971781e-15
"Txnrd1",2.82988644669486e-19,0.398244992615556,0.692,0.53,4.7380788777012e-15
"Gnb1",2.94610327311955e-19,0.333798551932562,0.925,0.867,4.93266071018406e-15
"Kif5b",3.17390110613941e-19,0.323347440948939,0.81,0.726,5.31406262200922e-15
"Psma1",3.25402253108511e-19,0.35420394990998,0.806,0.728,5.44820992379579e-15
"Pdcd5",3.38704152741787e-19,0.359595885078131,0.753,0.632,5.67092362935575e-15
"Slc31a2",3.91671834150221e-19,0.333631874727862,0.568,0.395,6.55776151917716e-15
"Rala",4.15735245098485e-19,0.355753307997889,0.708,0.59,6.96065520868393e-15
"F13a1",4.31456566563857e-19,0.277279039091058,0.384,0.214,7.22387729397867e-15
"Rrbp1",4.49752396789224e-19,0.283354339448153,0.96,0.956,7.53020437944198e-15
"Elob",5.33594778492058e-19,0.320750188104262,0.888,0.906,8.93397737629253e-15
"Mpp1",6.64842290198718e-19,0.388063813316257,0.601,0.448,1.11314544647971e-14
"Abcc1",6.91127561067319e-19,0.286983513530069,0.341,0.184,1.15715487549501e-14
"Sgk1",7.43933332367871e-19,0.551966644358778,0.761,0.627,1.24556757838353e-14
"Degs1",7.66199962583527e-19,0.428391061512063,0.64,0.506,1.2828485973536e-14
"Eif2s2",8.21307173697878e-19,0.378534325337862,0.831,0.759,1.37511460092236e-14
"Actn4",8.46719581407565e-19,0.430945351341052,0.599,0.444,1.41766259515069e-14
"Rbpj",8.72750795302877e-19,0.461639877171524,0.779,0.701,1.46124665657561e-14
"Dram1",9.87381449805931e-19,0.392645211223778,0.4,0.245,1.65317276141007e-14
"Flna",1.01013242228991e-18,0.391526278090625,0.745,0.622,1.69126471464e-14
"Slc2a1",1.1120936416995e-18,0.307555978119406,0.387,0.225,1.86197838429747e-14
"Eif3j1",1.12158162097584e-18,0.383570260125968,0.61,0.47,1.87786410799984e-14
"Rpl22l1",1.12578575471242e-18,-0.323069389181356,0.699,0.82,1.88490308911501e-14
"Calm3",1.23533998159443e-18,0.374624179509287,0.819,0.754,2.06832973118355e-14
"Chmp4b",1.24862982383018e-18,0.349839053624859,0.843,0.808,2.09058091403887e-14
"Rgl1",1.27082433787241e-18,0.447396431359513,0.587,0.424,2.12774118889978e-14
"Lrrc59",1.89296076482249e-18,0.308863311716986,0.573,0.404,3.1693842085423e-14
"Ero1l",1.8934896618739e-18,0.271199939996859,0.363,0.202,3.17026974087547e-14
"Gorasp2",1.96150965175003e-18,0.339445549891082,0.499,0.34,3.28415560992508e-14
"Ifi27",2.23324402841398e-18,-0.329671922755132,0.385,0.562,3.73912047677352e-14
"Ndufb9",3.02368376810386e-18,0.313659866242542,0.846,0.827,5.06255373293629e-14
"Itga6",3.16500760776492e-18,-0.322925356388816,0.328,0.515,5.29917223768081e-14
"Tuba1c",3.54073212609342e-18,0.37186483898394,0.711,0.594,5.92824779871822e-14
