"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"57",7.06899208611906e-207,1.75940599456749,0.974,0.693,1.18356134497891e-202,"2","Nr4a1"
"58",9.30682475689488e-231,1.74908738112962,0.981,0.531,1.55824166904691e-226,"2","Napsa"
"59",1.2320444182301e-154,1.70478725754517,0.573,0.081,2.06281196944265e-150,"2","Fabp4"
"60",3.0299910361148e-259,1.69249375101476,0.853,0.301,5.07311399176701e-255,"2","Grk3"
"61",0,2.30794341595004,0.955,0.22,0,"3","F13a1"
"62",0,2.20438193414281,0.965,0.342,0,"3","Fn1"
"63",5.76358697068846e-316,2.10306682258846,0.994,0.549,9.64997366502368e-312,"3","S100a4"
"64",5.63771888792987e-286,2.03939690141936,0.982,0.267,9.43923273406098e-282,"3","Ifitm6"
"65",1.94414244895391e-299,1.94133116911311,0.983,0.295,3.25507770228354e-295,"3","Hp"
"66",0,1.93447250856147,1,0.976,0,"3","Lyz2"
"67",2.36931331225364e-203,1.89851441128057,0.968,0.425,3.96694127870627e-199,"3","Ly6c2"
"68",2.74728719326062e-229,1.81454764665178,0.499,0.084,4.59978294767626e-225,"3","Vcan"
"69",1.54018023011431e-77,1.78492528540877,0.596,0.235,2.57872375928039e-73,"3","H2afz"
"70",3.45607163805144e-285,1.76485527840406,0.994,0.869,5.78650074358952e-281,"3","Tmsb10"
"71",2.28629216346313e-209,1.75376249832743,0.999,0.505,3.82793896928632e-205,"3","Plac8"
"72",7.40645649529944e-288,1.74105925169076,0.966,0.428,1.24006301100798e-283,"3","Mgst1"
"73",1.75477801760546e-259,1.68037112651575,0.918,0.499,2.93802483487682e-255,"3","Thbs1"
"74",2.39335538343821e-188,1.66896057699581,0.997,0.795,4.0071949184906e-184,"3","Crip1"
"75",1.61245000017256e-236,1.58183802962349,0.989,0.471,2.69972503528891e-232,"3","Ccr2"
"76",1.4360931384491e-208,1.51634640818173,0.996,0.845,2.40445074170533e-204,"3","Ifitm3"
"77",4.23023003632639e-184,1.47795228961344,0.966,0.512,7.08267414982128e-180,"3","Ccl9"
"78",1.22682335092806e-281,1.45668994656927,0.989,0.579,2.05407033645885e-277,"3","Emb"
"79",1.19849087028103e-204,1.42443080968535,0.808,0.21,2.00663326411153e-200,"3","Hopx"
"80",1.37097845188624e-194,1.38550499262548,0.977,0.621,2.29542922199314e-190,"3","Smpdl3a"
"81",3.01869411414469e-256,2.11799239228807,0.977,0.511,5.05419955531245e-252,"4","Plac8"
"82",2.45295747389215e-171,2.05108637328322,0.928,0.434,4.10698669853763e-167,"4","Ly6c2"
"83",9.87206601642125e-246,1.85588497774817,0.973,0.573,1.65288001312941e-241,"4","Ms4a4c"
"84",7.3453379084102e-136,1.52409933072369,0.905,0.506,1.22982992600512e-131,"4","Isg15"
"85",4.38855528603969e-162,1.51779788657726,0.979,0.818,7.34775811541625e-158,"4","Ifi27l2a"
"86",2.03256020385158e-28,1.50898980377134,0.378,0.228,3.4031155493087e-24,"4","Cxcl10"
"87",7.45756270090215e-144,1.33220410650082,0.824,0.374,1.24861972301205e-139,"4","Ifi211"
"88",1.98794556093234e-147,1.33011760866416,0.679,0.188,3.32841725266902e-143,"4","Ifi205"
"89",1.91050499499546e-124,1.32511015190496,0.898,0.515,3.19875851312091e-120,"4","Irf7"
"90",4.01121298313145e-156,1.28672447555398,0.961,0.632,6.71597389765699e-152,"4","Ms4a6b"
"91",6.56202714971022e-156,1.27738126066156,0.998,0.846,1.09868020567598e-151,"4","Ifitm3"
"92",1.81752781869731e-120,1.25748514097693,0.929,0.646,3.04308682684491e-116,"4","Ifi204"
"93",4.4717509512814e-110,1.22547256030389,0.779,0.38,7.48705261773045e-106,"4","Ifi209"
"94",2.35359620358413e-105,1.20262565004313,0.878,0.484,3.94062612366091e-101,"4","Slfn5"
"95",2.58801240627416e-132,1.19819320425594,0.953,0.479,4.33310917182483e-128,"4","Ccr2"
"96",1.13584657640022e-129,1.18663181307728,0.904,0.523,1.90174792286689e-125,"4","Zbp1"
"97",5.24869248487974e-109,1.18074511708882,0.787,0.364,8.78788582743415e-105,"4","Ifi47"
"98",2.27796488386139e-105,1.15797727728885,0.856,0.493,3.81399660504913e-101,"4","Ifi203"
"99",6.32207493820884e-126,1.14690546499799,0.952,0.707,1.05850500690431e-121,"4","Pnp"
"100",6.03663971464668e-141,1.12497958721137,0.938,0.64,1.01071458742329e-136,"4","Ms4a6d"
"101",1.34716264934283e-234,3.7832617062789,0.986,0.052,2.25555442379469e-230,"5","Plet1"
"102",1.23344569264139e-150,3.23855732954984,0.889,0.024,2.06515812318948e-146,"5","Fabp1"
"103",2.47619656203484e-164,3.23429395988555,0.936,0.031,4.14589590381493e-160,"5","Ear1"
