"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bmp1",3.19126189149063e-60,0.426846795800781,0.438,0.348,5.32557784451957e-56
"Hmgcs1",2.69396411865623e-50,0.42368123394593,0.574,0.489,4.49568732121352e-46
"Selenbp1",9.39023132383313e-155,0.420665887523796,0.937,0.783,1.56704180332127e-150
"Adgrf5",3.91854760120464e-60,0.419734524440196,0.591,0.516,6.5392722368903e-56
"Dhrs3",5.03266272998977e-65,0.418046328321994,0.501,0.412,8.39850756380694e-61
"Mlc1",1.94537632827924e-64,0.417044318787703,0.584,0.478,3.24644401663239e-60
"Slco4c1",6.36075940555097e-58,0.413132127346675,0.478,0.392,1.06148352959835e-53
"Fdps",1.61476173375091e-58,0.412765589735558,0.702,0.606,2.69471438128352e-54
"Mcl1",8.67411101947401e-54,0.409581684995054,0.61,0.551,1.44753564692982e-49
"Met",4.69303838742941e-68,0.40902038553034,0.343,0.24,7.8317424609422e-64
"Ldlr",1.52031813374135e-61,0.408930850497788,0.327,0.238,2.53710690158756e-57
"Epas1",3.3723452186192e-62,0.408043695109094,0.514,0.414,5.62776970083172e-58
"Sertad1",6.14719446127799e-55,0.40609486817124,0.598,0.531,1.02584381169807e-50
"Idi1",1.97311273624367e-50,0.402710979087438,0.491,0.403,3.29273053424343e-46
"Cited2",2.12422784554396e-46,0.402508583013066,0.704,0.637,3.54491142864375e-42
"5330417C22Rik",4.27193632547598e-71,0.402317289266031,0.268,0.17,7.12900733995432e-67
"Smim6",1.69992243943873e-70,0.401890350406724,0.703,0.581,2.83683056693535e-66
"Rbpjl",4.29159264639476e-60,0.394772944778953,0.635,0.531,7.16180980830358e-56
"Irx2",1.19053459365327e-44,0.393706336040151,0.583,0.539,1.98676412988857e-40
"Kcnc3",1.2229696960585e-49,0.393283922050256,0.452,0.377,2.04089182878243e-45
"Pi4k2b",1.17024811931635e-57,0.386986606250343,0.758,0.665,1.95291006151512e-53
"Tmem42",2.68847633583071e-58,0.381668584725304,0.461,0.371,4.48652930923429e-54
"Acot7",2.52336667918862e-53,0.379732168389375,0.726,0.625,4.21099431422996e-49
"Tmem164",4.46369733363071e-48,0.379009058244091,0.397,0.325,7.44901811036293e-44
"Irf2bp2",6.71867331703074e-49,0.376887615027034,0.411,0.342,1.12121220314609e-44
"Egfl6",4.62007935472587e-104,0.376339827849427,0.82,0.608,7.70998842716653e-100
"Acat2",2.8901552310695e-49,0.37552551320368,0.387,0.317,4.82309104960879e-45
"Slc12a2",1.05357197154196e-43,0.374164158197123,0.615,0.544,1.75820090610922e-39
"Elf3",1.09204682344748e-48,0.373982951030239,0.54,0.464,1.82240773896915e-44
"Krt23",1.03522029662495e-54,0.372440167259455,0.497,0.407,1.72757563100772e-50
"Mme",1.34881268923071e-45,0.371163859924796,0.537,0.453,2.25089861578821e-41
"Cxcl15",0,0.369436010395714,0.998,0.926,0
"Ramp1",1.19406892982263e-63,0.36599520568934,0.598,0.482,1.992662230088e-59
"Oaz2",2.98215441645508e-68,0.365617553888094,0.853,0.771,4.97661929018024e-64
"Hp",2.87393406151685e-176,0.363013346755872,0.916,0.679,4.79602116185932e-172
"Hdc",6.21917693913512e-32,0.362813542757889,0.433,0.349,1.03785624760287e-27
"Fam84b",7.39017894611492e-51,0.362598969285904,0.296,0.226,1.23327306252766e-46
"Cd200",1.41603747506744e-56,0.362498499579614,0.671,0.582,2.36308333839255e-52
"Hexim1",3.61872379015585e-55,0.360769893551425,0.361,0.276,6.03892626101209e-51
"Lrrk2",8.35862592167456e-41,0.360237360322127,0.508,0.443,1.39488749380905e-36
"Foxp1",1.3567627858368e-41,0.355618738504186,0.579,0.527,2.26416573700446e-37
"Egr1",1.54760741740931e-39,0.355436407843833,0.397,0.296,2.58264725817266e-35
"Chsy1",2.19672455600156e-45,0.352285914052678,0.3,0.24,3.6658939390554e-41
